season,overall,round,pick,franchise,mfl_id,gsis_id,player_name,position,team,is_rookie
2017,1,01,01,0016,13129,00-0033856,Leonard Fournette,RB,JAC,1
2017,2,01,02,0003,13129,00-0033856,Leonard Fournette,RB,JAC,1
2017,3,01,03,0001,13130,00-0033280,Christian McCaffrey,RB,CAR,1
2017,4,01,04,0018,13153,00-0033871,Corey Davis,WR,TEN,1
2017,5,01,05,0024,13153,00-0033871,Corey Davis,WR,TEN,1
2017,6,01,06,0005,13130,00-0033280,Christian McCaffrey,RB,CAR,1
2017,7,01,07,0013,13129,00-0033856,Leonard Fournette,RB,JAC,1
2017,8,01,08,0036,13153,00-0033871,Corey Davis,WR,TEN,1
2017,9,01,09,0021,13130,00-0033280,Christian McCaffrey,RB,CAR,1
2017,10,01,10,0023,13131,00-0033897,Joe Mixon,RB,CIN,1
2017,11,01,11,0027,13131,00-0033897,Joe Mixon,RB,CIN,1
2017,12,01,12,0007,13128,00-0033893,Dalvin Cook,RB,MIN,1
2017,13,01,13,0001,13131,00-0033897,Joe Mixon,RB,CIN,1
2017,14,01,14,0026,13154,00-0033536,Mike Williams,WR,LAC,1
2017,15,01,15,0020,13128,00-0033893,Dalvin Cook,RB,MIN,1
2017,16,01,16,0015,13154,00-0033536,Mike Williams,WR,LAC,1
2017,17,01,17,0004,13154,00-0033536,Mike Williams,WR,LAC,1
2017,18,01,18,0031,13128,00-0033893,Dalvin Cook,RB,MIN,1
2017,19,01,19,0002,13188,00-0033879,O.J. Howard,TE,TBB,1
2017,20,01,20,0032,13138,00-0033923,Kareem Hunt,RB,KCC,1
2017,21,01,21,0008,13189,00-0033881,Evan Engram,TE,NYG,1
2017,22,01,22,0019,13138,00-0033923,Kareem Hunt,RB,KCC,1
2017,23,01,23,0018,13215,00-0033887,Reuben Foster,LB,SFO,1
2017,24,01,24,0017,13188,00-0033879,O.J. Howard,TE,TBB,1
2017,25,01,25,0031,13132,00-0033906,Alvin Kamara,RB,NOS,1
2017,26,01,26,0034,13138,00-0033923,Kareem Hunt,RB,KCC,1
2017,27,01,27,0021,13132,00-0033906,Alvin Kamara,RB,NOS,1
2017,28,01,28,0022,13198,00-0033868,Myles Garrett,DE,CLE,1
2017,29,01,29,0012,13133,00-0033526,Samaje Perine,RB,WAS,1
2017,30,01,30,0007,13221,00-0033539,Jarrad Davis,LB,DET,1
2017,31,01,31,0035,13188,00-0033879,O.J. Howard,TE,TBB,1
2017,32,01,32,0018,13133,00-0033526,Samaje Perine,RB,WAS,1
2017,33,01,33,0015,13198,00-0033868,Myles Garrett,DE,CLE,1
2017,34,01,34,0006,13132,00-0033906,Alvin Kamara,RB,NOS,1
2017,35,01,35,0024,13198,00-0033868,Myles Garrett,DE,CLE,1
2017,36,01,36,0001,13221,00-0033539,Jarrad Davis,LB,DET,1
2017,37,02,01,0001,13215,00-0033887,Reuben Foster,LB,SFO,1
2017,38,02,02,0003,13143,00-0033955,Jeremy McNichols,RB,SFO,1
2017,39,02,03,0035,13221,00-0033539,Jarrad Davis,LB,DET,1
2017,40,02,04,0021,13215,00-0033887,Reuben Foster,LB,SFO,1
2017,41,02,05,0024,13189,00-0033881,Evan Engram,TE,NYG,1
2017,42,02,06,0028,13155,00-0033460,John Ross,WR,CIN,1
2017,43,02,07,0013,13155,00-0033460,John Ross,WR,CIN,1
2017,44,02,08,0036,13189,00-0033881,Evan Engram,TE,NYG,1
