"game_id","season","week","franchise_id","opponent_id","franchise_score","opponent_score","score_differential","franchise_elo_pregame","opponent_elo_pregame","elo_shift","franchise_elo_postgame"
"2020100050001",2020,1,"0001","0005",209.7,217.7,-8,1693,1735,-15,1652
"2020100270033",2020,1,"0033","0027",240.14,199.59,40.55,1579,1599,21,1588
"2020100180002",2020,1,"0002","0018",248.78,237.03,11.75,1471,1548,24,1483
"2020100250004",2020,1,"0004","0025",247.87,281.7,-33.83,1684,1715,-15,1678
"2020100280013",2020,1,"0013","0028",229.07,225.86,3.21,1521,1583,22,1572
"2020100210032",2020,1,"0032","0021",220.93,213.96,6.97,1435,1504,23,1486
"2020100230024",2020,1,"0024","0023",198.27,243.54,-45.27,1579,1669,-12,1548
"2020100190034",2020,1,"0034","0019",218.07,269.55,-51.48,1558,1569,-16,1533
"2020100220010",2020,1,"0010","0022",159.6,229.81,-70.21,1399,1427,-16,1375
"2020100120011",2020,1,"0011","0012",313.06,221.01,92.05,1611,1662,23,1649
"2020100090007",2020,1,"0007","0009",206.2,172.76,33.44,1539,1561,21,1551
"2020100080003",2020,1,"0003","0008",192.93,180.8,12.13,1445,1531,24,1458
"2020100170029",2020,1,"0029","0017",253.3,240.03,13.27,1572,1729,27,1579
"2020100140030",2020,1,"0030","0014",170.75,229.66,-58.91,1541,1567,-16,1514
"2020100200035",2020,1,"0035","0020",149.66,195.79,-46.13,1383,1488,-12,1362
"2020100160036",2020,1,"0036","0016",211.71,244.3,-32.59,1595,1695,-12,1600
"2020100150006",2020,1,"0006","0015",214.59,236.82,-22.23,1570,1572,-17,1544
"2020100260031",2020,1,"0031","0026",236.66,284.86,-48.2,1446,1514,-14,1457
"2020100050013",2020,1,"0013","0005",229.07,217.7,11.37,1521,1735,29,1572
"2020100010021",2020,1,"0021","0001",213.96,209.7,4.26,1504,1693,28,1511
"2020100270032",2020,1,"0032","0027",220.93,199.59,21.34,1435,1599,28,1486
"2020100330023",2020,1,"0023","0033",243.54,240.14,3.4,1669,1579,14,1699
"2020100180024",2020,1,"0024","0018",198.27,237.03,-38.76,1579,1548,-19,1548
"2020100020019",2020,1,"0019","0002",269.55,248.78,20.77,1569,1471,15,1604
"2020100250034",2020,1,"0034","0025",218.07,281.7,-63.63,1558,1715,-9,1533
"2020100040022",2020,1,"0022","0004",229.81,247.87,-18.06,1427,1684,-6,1441
"2020100280010",2020,1,"0010","0028",159.6,225.86,-66.26,1399,1583,-8,1375
"2020100120030",2020,1,"0030","0012",170.75,221.01,-50.26,1541,1662,-11,1514
"2020100110020",2020,1,"0020","0011",195.79,313.06,-117.27,1488,1611,-11,1493
"2020100090035",2020,1,"0035","0009",149.66,172.76,-23.1,1383,1561,-9,1362
"2020100070016",2020,1,"0016","0007",244.3,206.2,38.1,1695,1539,13,1723
"2020100080036",2020,1,"0036","0008",211.71,180.8,30.91,1595,1531,17,1600
"2020100030015",2020,1,"0015","0003",236.82,192.93,43.89,1572,1445,15,1607
