week,franchise_id,win,pf,pp,coach,all_play_wins,pf_rank,pp_rank,record_rank,all_play_rank,coach_rank,true_standing,true_rank
03,0012,2,326.02,352.58,-26.56,35,1,3,1,1,3,9,1
01,0023,2,277.14,312.94,-35.8,34,2,2,1,2,4,11,1
04,0017,2,332.2,373.1,-40.9,35,1,2,1,1,8,13,1
06,0002,2,276.1,301,-24.9,34,2,4,1,2,5,14,1
02,0024,2,276.29,318.29,-42,35,1,7,1,1,8,18,1
03,0024,2,288.5,317.95,-29.45,33,3,5,1,3,6,18,2
01,0024,1,270.4,293.9,-23.5,33,3,10,2,3,1,19,2
02,0012,2,268.69,302.79,-34.1,34,2,13,1,2,4,22,2
05,0022,2,274.14,301.54,-27.4,33,3,6,1,3,9,22,1
05,0005,2,323.84,362.78,-38.94,35,1,2,1,1,17,22,2
03,0006,2,278.93,300.93,-22,31,5,12,1,5,1,24,3
04,0026,2,271.9,304.9,-33,31,5,11,1,5,3,25,2
06,0012,2,301.62,345.29,-43.67,35,1,1,1,1,21,25,2
05,0030,2,270.6,306.23,-35.63,32,4,4,1,4,14,27,3
01,0011,2,282.63,354.72,-72.09,35,1,1,1,1,24,28,3
04,0036,2,326.78,392.28,-65.5,34,2,1,1,2,22,28,3
04,0006,1,279.72,332.72,-53,33,3,5,2,3,16,29,4
06,0006,2,251.44,287.04,-35.6,32,4,8,1,4,12,29,3
05,0032,2,257.06,278.66,-21.6,30,6,12,1,6,4,29,4
04,0005,2,275.34,325.6,-50.26,32,4,8,1,4,12,29,5
01,0036,2,242.04,299.44,-57.4,32,4,6,1,4,17,32,4
06,0013,2,255.58,301.68,-46.1,33,3,3,1,3,23,33,4
05,0017,2,311.56,371.48,-59.92,34,2,1,1,2,27,33,5
01,0029,2,237.7,280.2,-42.5,31,5,12,1,5,11,34,5
05,0007,2,260.42,299.02,-38.6,31,5,7,1,5,16,34,6
02,0021,2,264.97,318.41,-53.44,31,5,6,1,5,17,34,3
02,0016,2,264.58,287.53,-22.95,30,6,19,1,6,3,35,4
05,0009,1,253.26,280.06,-26.8,28,8,11,2,8,7,36,7
02,0034,1,262.55,309.35,-46.8,29,7,9,2,7,12,37,5
03,0017,2,270.31,308.75,-38.44,30,6,8,1,6,16,37,4
01,0021,1,235.9,284.56,-48.66,30,6,11,2,6,13,38,6
05,0024,2,252.18,274.78,-22.6,27,9,14,1,9,5,38,8
06,0019,2,245.04,285.62,-40.58,31,5,9,1,5,19,39,5
02,0007,2,265.58,331.42,-65.84,32,4,2,1,4,28,39,6
02,0029,2,265.82,335.38,-69.56,33,3,1,1,3,31,39,7
03,0013,2,286.42,342.47,-56.05,32,4,4,1,4,26,39,5
04,0002,1,261.72,313.82,-52.1,29,7,9,2,7,15,40,6
05,0036,2,251.4,275.58,-24.18,26,10,13,1,10,6,40,9
03,0023,2,260.23,293.61,-33.38,28,8,13,1,8,10,40,6
01,0034,2,227.46,273.76,-46.3,29,7,14,1,7,12,41,7
05,0011,2,256.04,303.98,-47.94,29,7,5,1,7,21,41,10
03,0004,2,310.94,410.94,-100,34,2,1,1,2,35,41,7
03,0002,2,250.19,274.84,-24.65,26,10,20,1,10,2,43,8
04,0018,2,263.8,332.1,-68.3,30,6,6,1,6,24,43,7
06,0015,2,238.73,276.98,-38.25,29,7,12,1,7,17,44,6
01,0005,2,222.66,261.64,-38.98,26,10,18,1,10,6,45,8
01,0017,2,223.94,253.5,-29.56,27,9,23,1,9,3,45,9
02,0010,2,259.48,317.98,-58.5,28,8,8,1,8,20,45,8
06,0011,1,241.4,308.4,-67,30,6,2,2,6,31,47,7
01,0018,2,224.22,299.52,-75.3,28,8,5,1,8,25,47,10
03,0020,2,249.56,281.39,-31.83,25,11,16,1,11,8,47,9
06,0033,0,229.43,252.93,-23.5,25,11,19,3,11,4,48,8
02,0023,1,257.1,318.95,-61.85,27,9,5,2,9,24,49,9
01,0012,2,221.3,262.5,-41.2,25,11,17,1,11,10,50,11
06,0036,2,238.14,291.94,-53.8,28,8,6,1,8,27,50,9
05,0025,1,239.76,266.86,-27.1,24,12,17,2,12,8,51,11
06,0017,2,235.22,275.56,-40.34,26,10,13,1,10,18,52,10
05,0006,2,242.42,282.24,-39.82,25,11,10,1,11,19,52,12
03,0007,2,244.26,277.16,-32.9,23,13,17,1,13,9,53,10
04,0021,2,259.16,347.06,-87.9,28,8,4,1,8,32,53,8
