"player_id" "player_name" "pos" "points" "war"
2842 "Vinatieri, Adam" "PK" 89 0.03
3494 "Dawson, Phil" "PK" 3.4 -0.07
4925 "Brees, Drew" "QB" 193.76 0.22
5848 "Brady, Tom" "QB" 237.36 0.54
6510 "Peppers, Julius" "DL" 80 0.08
6589 "McCown, Josh" "QB" 186.76 0.16
6789 "Bryant, Matt" "PK" 110.05 0.13
6929 "Palmer, Carson" "QB" 109.32 0.02
6938 "Suggs, Terrell" "LB" 86 0.03
6997 "Witten, Jason" "TE" 109.9 0.32
7231 "Harrison, James" "LB" 0 -0.11
7236 "Gates, Antonio" "TE" 36.7 -0.23
7391 "Manning, Eli" "QB" 149.94 -0.11
7393 "Fitzgerald, Larry" "WR" 175 0.73
7394 "Rivers, Philip" "QB" 189.42 0.18
7401 "Roethlisberger, Ben" "QB" 191.82 0.2
7422 "Watson, Ben" "TE" 86.3 0.14
7423 "Dansby, Karlos" "LB" 130 0.3
7757 "Adams, Mike" "DB" 92 -0.06
7813 "Smith, Alex" "QB" 215.42 0.38
7826 "Davis, Thomas" "LB" 105 0.12
7827 "Johnson, Derrick" "LB" 96 0.05
7836 "Rodgers, Aaron" "QB" 111.7 0.09
7877 "Gore, Frank" "RB" 112 0.29
7942 "Sproles, Darren" "RB" 19.9 0
8062 "Fitzpatrick, Ryan" "QB" 44.6 0
8153 "Gould, Robbie" "PK" 53.5 -0.02
8247 "Davis, Vernon" "TE" 90.7 0.17
8252 "Cutler, Jay" "QB" 109.08 -0.11
8269 "Lewis, Marcedes" "TE" 27.8 -0.06
8359 "Gostkowski, Stephen" "PK" 119.9 0.21
8360 "Marshall, Brandon" "WR" 33.4 0
8416 "Walker, Delanie" "TE" 125.1 0.43
8448 "Bethea, Antoine" "DB" 108 0.06
8658 "Peterson, Adrian" "RB" 80.9 0.08
8668 "Nelson, Reggie" "DB" 104 0.03
8669 "Posluszny, Paul" "LB" 52 -0.26
8670 "Lynch, Marshawn" "RB" 95.4 0.16
