"player_id" "player_name" "pos" "points" "war"
2842 "Vinatieri, Adam" "PK" 86.8 0.04
4925 "Brees, Drew" "QB" 262.9 0.57
5666 "Janikowski, Sebastian" "PK" 23.6 0.06
5848 "Brady, Tom" "QB" 204.54 0.15
6510 "Peppers, Julius" "DL" 3 -0.06
6589 "McCown, Josh" "QB" 20.34 -0.09
6789 "Bryant, Matt" "PK" 75.3 0.07
7236 "Gates, Antonio" "TE" 56.9 -0.06
7391 "Manning, Eli" "QB" 176.52 -0.06
7393 "Fitzgerald, Larry" "WR" 122 0.28
7394 "Rivers, Philip" "QB" 225.66 0.3
7401 "Roethlisberger, Ben" "QB" 262.86 0.57
7422 "Watson, Ben" "TE" 71.3 0.04
7757 "Adams, Mike" "DB" 65 0.01
7813 "Smith, Alex" "QB" 144 -0.12
7826 "Davis, Thomas" "LB" 75 0.08
7827 "Johnson, Derrick" "LB" 31 -0.06
7836 "Rodgers, Aaron" "QB" 223.64 0.28
7877 "Gore, Frank" "RB" 84.5 -0.03
8062 "Fitzpatrick, Ryan" "QB" 178.84 0.18
8153 "Gould, Robbie" "PK" 95 0.1
8247 "Davis, Vernon" "TE" 59.5 -0.05
8265 "Joseph, Johnathan" "DB" 0 -0.11
8359 "Gostkowski, Stephen" "PK" 107.2 0.19
8360 "Marshall, Brandon" "WR" 30.6 -0.05
8416 "Walker, Delanie" "TE" 9.2 0.04
8448 "Bethea, Antoine" "DB" 172 0.53
8658 "Peterson, Adrian" "RB" 149.5 0.43
8670 "Lynch, Marshawn" "RB" 79 0.11
8673 "Ginn Jr., Ted" "WR" 41.13 0.05
8687 "Olsen, Greg" "TE" 77.8 0.12
8713 "Weddle, Eric" "DB" 101.9 0.02
8742 "Crosby, Mason" "PK" 84.6 0.08
8930 "Prater, Matt" "PK" 90.5 0.07
8951 "Alexander, Lorenzo" "LB" 119 0.23
9028 "Grimes, Brent" "DB" 70 -0.05
9051 "Campbell, Calais" "DL" 113 0.42
9054 "Charles, Jamaal" "RB" 3.4 -0.08
9064 "Flacco, Joe" "QB" 144.1 -0.03
9075 "Jackson, DeSean" "WR" 148.7 0.47
9084 "Long, Chris" "DL" 52 -0.02
9099 "Ryan, Matt" "QB" 261.02 0.55
9118 "Nelson, Jordy" "WR" 80.45 0.03
9188 "Carr, Brandon" "DB" 81 -0.13
9250 "Garcon, Pierre" "WR" 58.6 0
9308 "Amendola, Danny" "WR" 106.72 0.18
9319 "Hauschka, Steven" "PK" 78.65 -0.02
9330 "Woodyard, Wesley" "LB" 138 0.3
9427 "Crabtree, Michael" "WR" 113 0.22
9430 "Jenkins, Malcolm" "DB" 142 0.31
9431 "Stafford, Matthew" "QB" 175.04 -0.07
9448 "McCoy, LeSean" "RB" 99.4 0.1
9465 "Chung, Patrick" "DB" 110 0.11
