"player_id" "player_name" "pos" "points" "war"
4925 "Brees, Drew" "QB" 104.28 0.03
5848 "Brady, Tom" "QB" 189.58 0.09
6789 "Bryant, Matt" "PK" 13.9 0.02
6938 "Suggs, Terrell" "LB" 53 -0.04
6997 "Witten, Jason" "TE" 90.6 0.14
7393 "Fitzgerald, Larry" "WR" 131.3 0.31
7394 "Rivers, Philip" "QB" 175.16 -0.01
7401 "Roethlisberger, Ben" "QB" 13.74 -0.13
7826 "Davis, Thomas" "LB" 146 0.41
7836 "Rodgers, Aaron" "QB" 202.08 0.18
7859 "Nugent, Mike" "PK" 4.5 -0.02
7877 "Gore, Frank" "RB" 82.1 0.02
7942 "Sproles, Darren" "RB" 7.7 -0.1
8062 "Fitzpatrick, Ryan" "QB" 134.94 -0.13
8153 "Gould, Robbie" "PK" 63.65 0.07
8247 "Davis, Vernon" "TE" 28.3 0.01
8265 "Joseph, Johnathan" "DB" 96 0.06
8359 "Gostkowski, Stephen" "PK" 29.3 0.03
8416 "Walker, Delanie" "TE" 54.5 0.03
8448 "Bethea, Antoine" "DB" 144 0.32
8658 "Peterson, Adrian" "RB" 80.1 0.04
8673 "Ginn Jr., Ted" "WR" 72.6 -0.1
8687 "Olsen, Greg" "TE" 110 0.27
8713 "Weddle, Eric" "DB" 140 0.29
8742 "Crosby, Mason" "PK" 77 0.09
8930 "Prater, Matt" "PK" 98.95 0.24
8944 "Moore, Matt" "QB" 33.98 0.01
8951 "Alexander, Lorenzo" "LB" 85 -0.02
9051 "Campbell, Calais" "DL" 95 0.15
9064 "Flacco, Joe" "QB" 92.88 -0.14
9075 "Jackson, DeSean" "WR" 36.9 0.07
9099 "Ryan, Matt" "QB" 192.86 0.17
9308 "Amendola, Danny" "WR" 96.8 0.09
9319 "Hauschka, Steven" "PK" 71.25 0.05
9330 "Woodyard, Wesley" "LB" 68 -0.06
9430 "Jenkins, Malcolm" "DB" 114 0.1
9431 "Stafford, Matthew" "QB" 174.56 0.18
9448 "McCoy, LeSean" "RB" 101.7 0.15
9464 "Matthews, Clay" "LB" 43 0.01
9474 "Cook, Jared" "TE" 90.4 0.14
9633 "McCourty, Jason" "DB" 86 -0.02
9662 "Edelman, Julian" "WR" 188.95 0.72
9714 "Hoyer, Brian" "QB" 8.96 -0.16
9749 "Bennett, Michael" "DL" 50 -0.09
9815 "Suh, Ndamukong" "DL" 22 -0.02
