"player_id"; "player_name"; "pos"; "points"; "war"
5848; "Brady, Tom"; "QB"; 286.04; 0.73
7401; "Roethlisberger, Ben"; "QB"; 166.82; -0.02
7836; "Rodgers, Aaron"; "QB"; 229.32; 0.31
8062; "Fitzpatrick, Ryan"; "QB"; 0.72; -0.18
8153; "Gould, Robbie"; "PK"; 10.6; -0.02
8658; "Peterson, Adrian"; "RB"; 26.6; 0
8742; "Crosby, Mason"; "PK"; 36.3; -0.01
8851; "Folk, Nick"; "PK"; 93.9; 0.15
8930; "Prater, Matt"; "PK"; 98.4; 0.13
9051; "Campbell, Calais"; "DL"; 71; 0.03
9099; "Ryan, Matt"; "QB"; 180.06; -0.04
9308; "Amendola, Danny"; "WR"; 22.55; -0.08
9430; "Jenkins, Malcolm"; "DB"; 131; 0.22
9431; "Stafford, Matthew"; "QB"; 262.34; 0.56
9474; "Cook, Jared"; "TE"; 96; 0.18
9686; "Succop, Ryan"; "PK"; 87.85; 0.06
9694; "Gano, Graham"; "PK"; 33.65; 0.03
9815; "Suh, Ndamukong"; "DL"; 58; -0.1
9825; "Dunlap, Carlos"; "DL"; 46; -0.19
9826; "Graham, Brandon"; "DL"; 4; -0.06
9828; "Griffen, Everson"; "DL"; 13; -0.07
9833; "Pierre-Paul, Jason"; "DL"; 64; 0.02
9861; "Jackson, Kareem"; "DB"; 126; 0.18
9899; "McCoy, Colt"; "QB"; 2.18; -0.17
9902; "Gronkowski, Rob"; "TE"; 112.6; 0.25
9904; "Joseph, Linval"; "DL"; 4; -0.03
9918; "Sanders, Emmanuel"; "WR"; 124.2; 0.25
9925; "Graham, Jimmy"; "TE"; 30.9; -0.12
9988; "Brown, Antonio"; "WR"; 95.4; 0.22
10261; "Green, A.J."; "WR"; 108.2; 0.14
10266; "Heyward, Cameron"; "DL"; 147; 0.55
10267; "Miller, Von"; "LB"; 64; -0.06
10271; "Jones, Julio"; "WR"; 54.6; 0.04
10272; "Watt, J.J."; "DL"; 37; -0.02
10273; "Newton, Cam"; "QB"; 46.06; 0
10276; "Ingram, Mark"; "RB"; 104.1; 0.15
10292; "Jordan, Cameron"; "DL"; 87; 0.11
10308; "Cobb, Randall"; "WR"; 94.6; 0.04
10312; "Rudolph, Kyle"; "TE"; 43.5; -0.11
10393; "Sherman, Richard"; "DB"; 6; -0.03
10413; "Taylor, Tyrod"; "QB"; 86.74; -0.02
10465; "Smith, Malcolm"; "LB"; 64; -0.02
10653; "Bynes, Josh"; "LB"; 62; 0.03
10697; "Tannehill, Ryan"; "QB"; 202.56; 0.12
10700; "Cousins, Kirk"; "QB"; 242.62; 0.41
10703; "Wilson, Russell"; "QB"; 152.98; 0.05
10729; "Hilton, T.Y."; "WR"; 38.7; -0.02
10738; "Jones, Marvin"; "WR"; 120; 0.22
10753; "Jones, Chandler"; "LB"; 96; 0.08
10754; "Mercilus, Whitney"; "DL"; 42; -0.08
10762; "Cox, Fletcher"; "DL"; 59; -0.26
10768; "David, Lavonte"; "LB"; 140; 0.27
10774; "Hightower, Dont'a"; "LB"; 89; -0.03
10775; "Wagner, Bobby"; "LB"; 233; 1.01
10779; "Jenkins, Janoris"; "DB"; 54; 0.01
10783; "Smith, Harrison"; "DB"; 161; 0.34
10789; "Gilmore, Stephon"; "DB"; 29; -0.05
10816; "Davis, Demario"; "LB"; 154; 0.44
10823; "Hicks, Akiem"; "DL"; 24; -0.02
10851; "Norman, Josh"; "DB"; 15; -0.05
10862; "Bullock, Randy"; "PK"; 40; 0
10868; "Zuerlein, Greg"; "PK"; 100.35; 0.14
