season,player_id,player_name,pos,points,war
2023,14322,"Edwards, T.J.",LB,207,2.88
2023,13696,"Smith, Roquan",LB,199,2.66
2023,14218,"Okereke, Bobby",LB,196,2.58
2023,15869,"Bernard, Terrel",LB,196,2.58
2023,13130,"McCaffrey, Christian",RB,243.9,2.32
2023,12186,"Diggs, Stefon",WR,209.5,2.24
2023,14138,"Hockenson, T.J.",TE,171.6,2.08
2023,13987,"Spillane, Robert",LB,176,2.06
2023,12801,"Hill, Tyreek",WR,255.9,2.04
2023,14896,"Queen, Patrick",LB,175,2.04
2023,15716,"Robinson, Brian",RB,163.3,1.92
2023,13589,"Allen, Josh",QB,262.1,1.86
2023,13813,"Oluokun, Foyesade",LB,215,1.82
2023,11222,"Allen, Keenan",WR,232.66,1.72
2023,13762,"White, Kyzir",LB,161,1.68
2023,14073,"Jacobs, Josh",RB,152.6,1.64
2023,13635,"Moore, D.J.",WR,183,1.54
2023,13743,"Warner, Fred",LB,191,1.48
2023,14832,"Lamb, CeeDee",WR,215.7,1.48
2023,12447,"Mostert, Raheem",RB,181.9,1.44
2023,13837,"Franklin, Zaire",LB,211,1.4
2023,15253,"Etienne, Travis",RB,179.2,1.4
2023,14221,"Williams, Quincy",LB,184,1.38
2023,10775,"Wagner, Bobby",LB,180,1.32
2023,14104,"Brown, A.J.",WR,205.3,1.32
2023,13850,"Edwards, Gus",RB,139.29999999999998,1.3
2023,15715,"Cook, James",RB,137.9,1.26
2023,11728,"Mosley, C.J.",LB,175,1.24
2023,15373,"Davis, Jamin",LB,143,1.2
2023,10768,"David, Lavonte",LB,169,1.16
2023,12287,"Hicks, Jordan",LB,168,1.14
2023,14928,"Wilson, Logan",LB,165,1.1
2023,15281,"Chase, Ja'Marr",WR,189.7,1.1
2023,14225,"Crosby, Maxx",DL,155,1.06
2023,13268,"Anzalone, Alex",LB,160,1.04
2023,14412,"Singleton, Alex",LB,161,1.04
2023,11675,"Adams, Davante",WR,162.1,1
2023,14797,"Swift, D'Andre",RB,150.7,1
2023,15721,"White, Rachaad",RB,151.3,1
2023,15287,"St. Brown, Amon-Ra",WR,193.1,0.98
