season,mfl_id,gsis_id,display_name,last_name,pos,points,war,rank,award,label,headshot,category,pctl,group,category_f,award_f,subline
2016,10302,00-0028009,DeMarco Murray,Murray,RB,249.6,4.06,1,MVP,Most Valuable Player,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lu4pqg7cvxbz7z4oormo",points_total_pctl,0.6710526315789473,All award candidates 2016-2022,points_total_pctl,MVP,Most WAR
2016,12171,00-0032187,David Johnson,Johnson,RB,285.4,2.86,2,MVP,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y7dtsyyjnoafefkbylbb",points_total_pctl,0.875,All award candidates 2016-2022,points_total_pctl,MVP,Most WAR
2016,12625,00-0033045,Ezekiel Elliott,Elliott,RB,245.2,2.28,3,MVP,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eazag7iwciy9ari8hoju",points_total_pctl,0.6381578947368421,All award candidates 2016-2022,points_total_pctl,MVP,Most WAR
2016,12171,00-0032187,David Johnson,Johnson,RB,285.4,2.86,1,OPOY,Offensive Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y7dtsyyjnoafefkbylbb",points_total_pctl,0.875,All award candidates 2016-2022,points_total_pctl,OPOY,Most WAR: Offense non-MVP
2016,12625,00-0033045,Ezekiel Elliott,Elliott,RB,245.2,2.28,2,OPOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eazag7iwciy9ari8hoju",points_total_pctl,0.6381578947368421,All award candidates 2016-2022,points_total_pctl,OPOY,Most WAR: Offense non-MVP
2016,12151,00-0032144,Melvin Gordon,Gordon,RB,228.3,2.02,3,OPOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i4g8x7yotpgszlyanow0",points_total_pctl,0.5592105263157895,All award candidates 2016-2022,points_total_pctl,OPOY,Most WAR: Offense non-MVP
2016,11772,00-0031361,Christian Kirksey,Kirksey,LB,191,1.96,1,DPOY,Defensive Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/isfkelvkds7t558honb0",points_total_pctl,0.28289473684210525,All award candidates 2016-2022,points_total_pctl,DPOY,Most WAR: Defense non-MVP
2016,10775,00-0029255,Bobby Wagner,Wagner,LB,201,1.38,2,DPOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ewnw62iiygl9wpbttdum",points_total_pctl,0.3815789473684211,All award candidates 2016-2022,points_total_pctl,DPOY,Most WAR: Defense non-MVP
2016,11293,00-0030527,Alec Ogletree,Ogletree,LB,200,1.36,3,DPOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n2iknv0oqq5nqbbzjjrn",points_total_pctl,0.3684210526315789,All award candidates 2016-2022,points_total_pctl,DPOY,Most WAR: Defense non-MVP
2016,9099,00-0026143,Matt Ryan,Ryan,QB,249.04,0.66,1,APOY,Air Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s6zam4ekrrnonsck6vak",points_total_pctl,0.6644736842105263,All award candidates 2016-2022,points_total_pctl,APOY,"Most Fantasy Points
through the air (QB)"
2016,7836,00-0023459,Aaron Rodgers,Rodgers,QB,269.46,0.96,2,APOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mee42twdk3qpcdotzdka",points_total_pctl,0.8355263157894737,All award candidates 2016-2022,points_total_pctl,APOY,"Most Fantasy Points
through the air (QB)"
2016,4925,00-0020531,Drew Brees,Brees,QB,266.38,0.92,3,APOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",points_total_pctl,0.8223684210526315,All award candidates 2016-2022,points_total_pctl,APOY,"Most Fantasy Points
through the air (QB)"
2016,12625,00-0033045,Ezekiel Elliott,Elliott,RB,245.2,2.28,1,GPOY,Ground Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eazag7iwciy9ari8hoju",points_total_pctl,0.6381578947368421,All award candidates 2016-2022,points_total_pctl,GPOY,"Fantasy Points
on the air"
2016,9898,00-0027325,LeGarrette Blount,Blount,RB,167,1.1,2,GPOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s3eilto1yi0yhoamvvo3",points_total_pctl,0.19736842105263158,All award candidates 2016-2022,points_total_pctl,GPOY,"Fantasy Points
on the air"
2016,12171,00-0032187,David Johnson,Johnson,RB,285.4,2.86,3,GPOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y7dtsyyjnoafefkbylbb",points_total_pctl,0.875,All award candidates 2016-2022,points_total_pctl,GPOY,"Fantasy Points
on the air"
2016,12625,00-0033045,Ezekiel Elliott,Elliott,RB,245.2,2.28,1,OROY,Offensive Rookie of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eazag7iwciy9ari8hoju",points_total_pctl,0.6381578947368421,All award candidates 2016-2022,points_total_pctl,OROY,Most WAR: Offensive Rookie
2016,12634,00-0032780,Jordan Howard,Howard,RB,139.8,0.6,2,OROY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nbvb6bsrmjupmqrrf1n4",points_total_pctl,0.125,All award candidates 2016-2022,points_total_pctl,OROY,Most WAR: Offensive Rookie
