season,bowl,bracket,week,game_id,franchise_id,franchise_points,match_result,po_finish,title,total_appearances,next_appearance,franchise_name
2017,PB,Pro Bowl,13,PB-2017-01,0013,199.28,L,5,0,2,2022,Cologne Thunderkittens
2017,PB,Pro Bowl,13,PB-2017-02,0027,168.73,L,5,0,1,NA,Golden Skulls Göttingen
2017,PB,Pro Bowl,13,PB-2017-03,0022,183.51,L,5,0,3,2020,M-V Lightning
2017,PB,Pro Bowl,13,PB-2017-04,0026,253.7,W,NA,0,4,2017,Red Raiders
2017,PB,Pro Bowl,13,PB-2017-01,0011,244.46,W,NA,0,2,2017,Flens Pirates 
2017,PB,Pro Bowl,13,PB-2017-02,0012,239.26,W,NA,0,2,2017,Wüterich Packers
2017,PB,Pro Bowl,13,PB-2017-03,0036,225.64,W,NA,0,3,2017,Baratheon Boars
2017,PB,Pro Bowl,13,PB-2017-04,0024,213.86,L,5,0,3,2019,Milano Raptors
2017,SB,Super Bowl RFC,13,SB-2017-01,0025,247.28,W,NA,NA,4,2017,Hannover Eagles
2017,SB,Super Bowl RFC,13,SB-2017-02,0028,215.11,W,NA,NA,2,2017,German Cats
2017,SB,Super Bowl BFC,13,SB-2017-03,0001,186.3,L,7,0,3,2018,Dortmund Cardinals
2017,SB,Super Bowl BFC,13,SB-2017-04,0018,187.68,L,7,0,1,NA,Hintertupfingen Griffins
2017,SB,Super Bowl RFC,13,SB-2017-01,0007,229.82,L,7,0,1,NA,Jena Dragons
2017,SB,Super Bowl RFC,13,SB-2017-02,0006,197.54,L,7,0,3,2018,Dexter Wolves
2017,SB,Super Bowl BFC,13,SB-2017-03,0019,205.79,W,NA,NA,3,2017,Dresden Jaguars
2017,SB,Super Bowl BFC,13,SB-2017-04,0017,280.5,W,NA,NA,6,2017,Nordic Wolves
2017,TB,Toilet Bowl,13,TB-2017-01,0023,162.22,L,5,0,1,NA,Berlin Bears
2017,TB,Toilet Bowl,13,TB-2017-02,0015,179.86,W,NA,0,1,2017,Las Vegas Saints
2017,TB,Toilet Bowl,13,TB-2017-03,0010,224.94,W,NA,0,4,2017,Güstrow Racoons
2017,TB,Toilet Bowl,13,TB-2017-04,0009,189.3,L,5,0,4,2020,Syke Steelers
2017,TB,Toilet Bowl,13,TB-2017-01,0033,230.38,W,NA,0,1,2017,Auwald Woodpecker
2017,TB,Toilet Bowl,13,TB-2017-02,0035,138.02,L,5,0,6,2018,Güstrow Torros
2017,TB,Toilet Bowl,13,TB-2017-03,0003,175.06,L,5,0,2,2019,CTU Los Angeles
2017,TB,Toilet Bowl,13,TB-2017-04,0020,229.04,W,NA,0,4,2017,Wandsbek Hogs
2017,PB,Pro Bowl,14,PB-2017-05,0011,205.19,W,NA,0,2,2017,Flens Pirates 
2017,PB,Pro Bowl,14,PB-2017-06,0026,233.74,W,NA,0,4,2017,Red Raiders
2017,PB,Pro Bowl,14,PB-2017-07,0012,227.41,L,4,0,2,2022,Wüterich Packers
2017,PB,Pro Bowl,14,PB-2017-08,0036,205.02,L,4,0,3,2020,Baratheon Boars
