"franchise_name","player_id","player_name","vbd_true_avg","true_position","pick_value_raw","comp_pick"
"Dortmund Cardinals",12688,"Buckner, DeForest",1.187333333,"DL",1.1678,23
"Dortmund Cardinals",12701,"Smith, Jaylon",4.112666667,"LB",3.4684,1
"Dortmund Cardinals",13813,"Oluokun, Foyesade",4.404,"LB",3.4684,1
"Dortmund Cardinals",12736,"Neal, Keanu",-0.9266666667,"LB",-0.9129,50
"Dortmund Cardinals",12218,"Armstead, Arik",-1.229,"DL",-1.2161,55
"Dortmund Cardinals",13221,"Davis, Jarrad",-2.258,"LB",-2.2599,80
"Dortmund Cardinals",14164,"Jones, Dre'Mont",-2.807666667,"DL",-2.7981,101
"Dortmund Cardinals",15352,"Collins, Zaven",-6.712,"LB",-6.5081,252
"Dortmund Cardinals",13216,"Cunningham, Zach",5.456666667,"LB",3.4684,1
"Dortmund Cardinals",14947,"Wonnum, D.J.",-2.5805,"DL",-2.5915,94
"Dortmund Cardinals",15379,"Tryon, Joe",-4.313,"DL",-4.3264,146
"Dortmund Cardinals",14923,"Taylor, Darrell",-2.538,"DL",-2.5361,92
"Dortmund Cardinals",10272,"Watt, J.J.",-0.53,"DL",-0.5206,44
"Dortmund Cardinals",15443,"Wallow, Garret",-7.088,"LB",-6.5081,252
"Wolftown Rocketeers",12756,"Ngakoue, Yannick",-0.8366666667,"DL",-0.8498,49
"Wolftown Rocketeers",13765,"Young, Kenny",-2.988666667,"LB",-2.9945,108
"Wolftown Rocketeers",14225,"Crosby, Maxx",-0.854,"DL",-0.8498,49
"Wolftown Rocketeers",13284,"Hendrickson, Trey",-1.982666667,"DL",-1.9762,70
"Wolftown Rocketeers",15352,"Collins, Zaven",-6.712,"LB",-6.5081,252
"Wolftown Rocketeers",15351,"Owusu-Koramoah, Jeremiah",1.292,"LB",1.2614,22
"Wolftown Rocketeers",15346,"Rousseau, Gregory",-1,"DL",-0.9751,51
"Wolftown Rocketeers",14590,"Al-Shaair, Azeez",-2.568333333,"LB",-2.5631,93
"Wolftown Rocketeers",12753,"Nassib, Carl",-3.228333333,"DL",-3.2197,116
"Wolftown Rocketeers",14249,"Van Ginkel, Andrew",-1.625333333,"DL",-1.6113,62
"Wolftown Rocketeers",12795,"Judon, Matt",0.646,"DL",0.6308,29
"Wolftown Rocketeers",13330,"Muhammad, Al-Quadin",-3.729666667,"DL",-3.7457,132
"Wolftown Rocketeers",13293,"Reeves-Maybin, Jalen",-5.161666667,"LB",-5.1579,175
"Wolftown Rocketeers",10653,"Bynes, Josh",-0.1236666667,"LB",-0.0921,38
"Wolftown Rocketeers",13267,"Smoot, Dawuane",-3.593333333,"DL",-3.5958,128
"Wolftown Rocketeers",14943,"Davis-Gaither, Akeem",-4.546,"LB",-4.5594,152
"Wolftown Rocketeers",13202,"Lawson, Carl",-4.771,"DL",-4.7832,159
"Wolftown Rocketeers",11299,"Bostic, Jon",0.8396666667,"LB",0.8051,27
"Wolftown Rocketeers",13426,"Morrow, Nicholas",1.158,"LB",1.1678,23
"Wolftown Rocketeers",14941,"Taylor, Davion",-5.0665,"LB",-5.0738,171
"Wolftown Rocketeers",14217,"Barton, Cody",-7.394666667,"LB",-6.5081,252
"Wolftown Rocketeers",15353,"Surratt, Chazz",-9.4,"LB",-6.5081,252
"CTU Los Angeles",13775,"Bentley, Ja'Whaun",-0.2826666667,"LB",-0.3113,41
"CTU Los Angeles",14168,"White, Devin",7.109333333,"LB",3.4684,1
"CTU Los Angeles",14163,"Simmons, Jeffery",-0.7333333333,"DL",-0.7209,47
"CTU Los Angeles",12756,"Ngakoue, Yannick",-0.8366666667,"DL",-0.8498,49
"CTU Los Angeles",12239,"Kendricks, Eric",7.166,"LB",3.4684,1
"CTU Los Angeles",12231,"Thompson, Shaq",4.464666667,"LB",3.4684,1
"CTU Los Angeles",12768,"Schobert, Joe",6.320666667,"LB",3.4684,1
"CTU Los Angeles",14169,"Wilson, Mack",-2.766333333,"LB",-2.7694,100
"CTU Los Angeles",13787,"Carter, Jermaine",-4.447666667,"LB",-4.4463,149
"CTU Los Angeles",12739,"Clark, Kenny",-1.537666667,"DL",-1.5566,61
"CTU Los Angeles",14947,"Wonnum, D.J.",-2.5805,"DL",-2.5915,94
"CTU Los Angeles",15543,"Griffith, Jonas",-4.4,"LB",-4.407,148
