"franchise_name","player_id","player_name","vbd_true_avg","true_position","pick_value_raw","comp_pick"
"Dortmund Cardinals",12688,"Buckner, DeForest",0.562,"DL",0.5455,30
"Dortmund Cardinals",12701,"Smith, Jaylon",-2.844,"LB",-2.8549,103
"Dortmund Cardinals",13813,"Oluokun, Foyesade",9.912,"LB",3.4684,1
"Dortmund Cardinals",12736,"Neal, Keanu",-1.169,"LB",-1.157,54
"Dortmund Cardinals",12218,"Armstead, Arik",-2,"DL",-2.0113,71
"Dortmund Cardinals",13221,"Davis, Jarrad",-4.844,"LB",-4.8372,161
"Dortmund Cardinals",14164,"Jones, Dre'Mont",-2.671,"DL",-2.6816,97
"Dortmund Cardinals",15352,"Collins, Zaven",-6.712,"LB",-6.5081,252
"Dortmund Cardinals",13216,"Cunningham, Zach",1.062,"LB",1.0754,24
"Dortmund Cardinals",14947,"Wonnum, D.J.",-1.75,"DL",-1.7672,65
"Dortmund Cardinals",15379,"Tryon, Joe",-4.313,"DL",-4.3264,146
"Dortmund Cardinals",14923,"Taylor, Darrell",-2.538,"DL",-2.5361,92
"Dortmund Cardinals",10272,"Watt, J.J.",-2.652,"DL",-2.6516,96
"Dortmund Cardinals",15443,"Wallow, Garret",-7.088,"LB",-6.5081,252
"Wolftown Rocketeers",12756,"Ngakoue, Yannick",-1.876,"DL",-1.8581,67
"Wolftown Rocketeers",13765,"Young, Kenny",0.985,"LB",0.9841,25
"Wolftown Rocketeers",14225,"Crosby, Maxx",-1,"DL",-0.9751,51
"Wolftown Rocketeers",13284,"Hendrickson, Trey",-0.438,"DL",-0.4519,43
"Wolftown Rocketeers",15352,"Collins, Zaven",-6.712,"LB",-6.5081,252
"Wolftown Rocketeers",15351,"Owusu-Koramoah, Jeremiah",1.292,"LB",1.2614,22
"Wolftown Rocketeers",15346,"Rousseau, Gregory",-1,"DL",-0.9751,51
"Wolftown Rocketeers",14590,"Al-Shaair, Azeez",5.292,"LB",3.4684,1
"Wolftown Rocketeers",12753,"Nassib, Carl",-4.4,"DL",-4.407,148
"Wolftown Rocketeers",14249,"Van Ginkel, Andrew",-0.188,"DL",-0.1663,39
"Wolftown Rocketeers",12795,"Judon, Matt",1.25,"DL",1.2614,22
"Wolftown Rocketeers",13330,"Muhammad, Al-Quadin",-1.876,"DL",-1.8581,67
"Wolftown Rocketeers",13293,"Reeves-Maybin, Jalen",-0.543,"LB",-0.5206,44
"Wolftown Rocketeers",10653,"Bynes, Josh",0.446,"LB",0.4614,31
"Wolftown Rocketeers",13267,"Smoot, Dawuane",-2.405,"DL",-2.4152,87
"Wolftown Rocketeers",14943,"Davis-Gaither, Akeem",-3.4,"LB",-3.3988,122
"Wolftown Rocketeers",13202,"Lawson, Carl",-7.938,"DL",-6.5081,252
"Wolftown Rocketeers",11299,"Bostic, Jon",-2.6,"LB",-2.5915,94
"Wolftown Rocketeers",14941,"Taylor, Davion",-1.733,"LB",-1.7178,64
"Wolftown Rocketeers",14217,"Barton, Cody",-7.867,"LB",-6.5081,252
"Wolftown Rocketeers",15353,"Surratt, Chazz",-9.4,"LB",-6.5081,252
"CTU Los Angeles",13775,"Bentley, Ja'Whaun",1.667,"LB",1.6467,18
"CTU Los Angeles",14168,"White, Devin",4.912,"LB",3.4684,1
