"player_id","player_name","starter","points","ppg_avg","vbd_mfl_total","vbd_mfl_avg","vbd_true_total","vbd_true_avg","true_position","mfl_position","tier_mfl","tier_true"
13164,"Kupp, Cooper",0,413.9,17.1388,15.675,15.675,15.675,15.675,"WR","WR",1,1
13589,"Allen, Josh",0,396.72,21.9755,8.506,8.506,8.506,8.506,"QB","QB",1,1
14779,"Herbert, Justin",0,368.34,22.972,6.732,6.732,6.732,6.732,"QB","QB",1,1
5848,"Brady, Tom",0,364.7,19.8688,6.505,6.505,6.505,6.505,"QB","QB",1,1
14802,"Taylor, Jonathan",0,362.6,19.791,13.656,13.656,13.656,13.656,"RB","RB",1,1
13116,"Mahomes, Patrick",0,352.46,21.3656,5.74,5.74,5.74,5.74,"QB","QB",1,1
11675,"Adams, Davante",0,332.8,20.7064,11.993,11.993,11.993,11.993,"WR","WR",1,1
14777,"Burrow, Joe",0,330.24,19.456,4.351,4.351,4.351,4.351,"QB","QB",1,1
9431,"Stafford, Matthew",0,329.22,18.3466,4.287,4.287,4.287,4.287,"QB","QB",1,1
14783,"Hurts, Jalen",0,323.16,14.62,5.255,5.255,5.255,5.255,"QB","QB",1,1
7836,"Rodgers, Aaron",0,323.08,20.6384,5.25,5.25,5.25,5.25,"QB","QB",1,1
13404,"Ekeler, Austin",0,317.9,15.2796,12.187,12.187,12.187,12.187,"RB","RB",1,1
14136,"Samuel, Deebo",0,314.25,15.0506666666667,10.756,10.756,10.756,10.756,"WR","WR",1,1
14836,"Jefferson, Justin",0,309.3,18.2345,9.137,9.137,9.137,9.137,"WR","WR",1,1
13813,"Oluokun, Foyesade",1,309,12.54475,9.045,9.045,9.912,9.912,"LB","LB",1,1
12620,"Prescott, Dak",0,304.76,21.3608,4.028,4.028,4.028,4.028,"QB","QB",1,1
15281,"Chase, Ja'Marr",0,301,18.812,8.618,8.618,8.618,8.618,"WR","WR",1,1
12801,"Hill, Tyreek",0,296.3,18.9544,8.325,8.325,8.325,8.325,"WR","WR",1,1
14056,"Murray, Kyler",0,293.38,21.9813333333333,6.279,6.279,6.279,6.279,"QB","QB",1,1
15254,"Harris, Najee",0,291.2,18.2,9.194,9.194,9.194,9.194,"RB","RB",1,1
