"overall","player_id","player_name","vbd_true"
1,13129,"Fournette, Leonard",5.3052
2,13129,"Fournette, Leonard",5.3052
3,13130,"McCaffrey, Christian",12.983
4,13153,"Davis, Corey",-0.5264
5,13153,"Davis, Corey",-0.5264
6,13130,"McCaffrey, Christian",12.983
7,13129,"Fournette, Leonard",5.3052
8,13153,"Davis, Corey",-0.5264
9,13130,"McCaffrey, Christian",12.983
10,13131,"Mixon, Joe",4.906
11,13131,"Mixon, Joe",4.906
12,13128,"Cook, Dalvin",8.1122
13,13131,"Mixon, Joe",4.906
14,13154,"Williams, Mike",-0.8746
15,13128,"Cook, Dalvin",8.1122
16,13154,"Williams, Mike",-0.8746
17,13154,"Williams, Mike",-0.8746
18,13128,"Cook, Dalvin",8.1122
19,13188,"Howard, O.J.",-2.434
20,13138,"Hunt, Kareem",5.5034
21,13189,"Engram, Evan",0.7498
22,13138,"Hunt, Kareem",5.5034
23,13215,"Foster, Reuben",0.968000000000001
24,13188,"Howard, O.J.",-2.434
25,13132,"Kamara, Alvin",10.8484
26,13138,"Hunt, Kareem",5.5034
27,13132,"Kamara, Alvin",10.8484
28,13198,"Garrett, Myles",1.3982
29,13133,"Perine, Samaje",-6.752
30,13221,"Davis, Jarrad",-0.189
31,13188,"Howard, O.J.",-2.434
32,13133,"Perine, Samaje",-6.752
33,13198,"Garrett, Myles",1.3982
34,13132,"Kamara, Alvin",10.8484
35,13198,"Garrett, Myles",1.3982
36,13221,"Davis, Jarrad",-0.189
37,13215,"Foster, Reuben",0.968000000000001
38,13143,"McNichols, Jeremy",-8.707
39,13221,"Davis, Jarrad",-0.189
40,13215,"Foster, Reuben",0.968000000000001
41,13189,"Engram, Evan",0.7498
42,13155,"Ross, John",-5.953
43,13155,"Ross, John",-5.953
44,13189,"Engram, Evan",0.7498
45,13155,"Ross, John",-5.953
46,13133,"Perine, Samaje",-6.752
47,13192,"Njoku, David",-3.8942
48,13245,"Reddick, Haason",0.8664
49,13245,"Reddick, Haason",0.8664
50,13192,"Njoku, David",-3.8942
51,13245,"Reddick, Haason",0.8664
52,13192,"Njoku, David",-3.8942
