"season","week","player_id","player_name","team","points","is_available","ppg","true_position","mfl_position","vbd_mfl","vbd_true"
2019,"YTD",11323,"Reid, Eric","CAR",262,"0",16.375,"DB","DB",6.25,6.25
2020,"YTD",11965,"Butler, Malcolm","TEN",230,"0",14.375,"DB","DB",2.089,2.089
2021,"YTD",13713,"Fitzpatrick, Minkah","PIT",223,"0",14.867,"DB","DB",4.367,4.367
2021,"YTD",10783,"Smith, Harrison","MIN",222,"0",15.857,"DB","DB",5.357,5.357
2021,"YTD",13714,"James, Derwin","LAC",215,"0",15.357,"DB","DB",4.857,4.857
2019,"YTD",8448,"Bethea, Antoine","NYG",213,"0",13.312,"DB","DB",3.187,3.187
2021,"YTD",13470,"Moore, Kenny","IND",213,"0",13.312,"DB","DB",2.812,2.812
2021,"YTD",13325,"Woods, Xavier","MIN",210,"0",13.125,"DB","DB",2.625,2.625
2021,"YTD",12752,"Byard, Kevin","TEN",208,"0",13,"DB","DB",2.5,2.5
2021,"YTD",11316,"Ryan, Logan","NYG",207,"0",14.786,"DB","DB",4.286,4.286
2021,"YTD",14518,"Thompson, Jalen","ARI",206,"0",12.875,"DB","DB",2.375,2.375
2021,"YTD",14927,"Chinn, Jeremy","CAR",204,"0",12.75,"DB","DB",2.25,2.25
2021,"YTD",12720,"Kearse, Jayron","DAL",197,"0",12.312,"DB","DB",1.812,1.812
2021,"YTD",12718,"Bell, Vonn","CIN",195,"0",12.188,"DB","DB",1.688,1.688
2021,"YTD",14903,"Diggs, Trevon","DAL",193.5,"0",12.094,"DB","DB",1.594,1.594
2021,"YTD",13251,"Baker, Budda","ARI",193,"0",12.062,"DB","DB",1.562,1.562
2021,"YTD",14184,"Abram, Johnathan","LVR",192,"0",13.714,"DB","DB",3.214,3.214
2021,"YTD",11317,"Poyer, Jordan","BUF",190,"0",12.667,"DB","DB",2.167,2.167
2021,"YTD",12349,"Diggs, Quandre","SEA",188,"0",11.75,"DB","DB",1.25,1.25
2019,"YTD",8713,"Weddle, Eric","LAR",185,"0",11.562,"DB","DB",1.437,1.437
2021,"YTD",12817,"Brown, Anthony","DAL",185,"1",11.562,"DB","DB",1.062,1.062
2021,"YTD",11382,"Hyde, Micah","BUF",184.4,"0",11.525,"DB","DB",1.025,1.025
2021,"YTD",12767,"Simmons, Justin","DEN",184,"0",11.5,"DB","DB",1,1
2021,"YTD",14908,"McKinney, Xavier","NYG",184,"0",11.5,"DB","DB",1,1
2021,"YTD",12308,"Amos, Adrian","GBP",183,"0",11.438,"DB","DB",0.938000000000001,0.938000000000001
2020,"YTD",11802,"Boston, Tre","CAR",181,"0",11.312,"DB","DB",-0.974,-0.974
2021,"YTD",12711,"Ramsey, Jalen","LAR",181,"0",12.067,"DB","DB",1.567,1.567
2021,"YTD",14991,"Fuller, Jordan","LAR",181,"0",12.067,"DB","DB",1.567,1.567
2021,"YTD",13917,"Jackson, J.C.","NEP",181,"1",11.312,"DB","DB",0.811999999999999,0.811999999999999
2021,"YTD",14921,"Dugger, Kyle","NEP",176,"0",11.733,"DB","DB",1.233,1.233
2021,"YTD",12714,"Fuller, Kendall","WAS",175,"1",11.667,"DB","DB",1.167,1.167
2021,"YTD",13232,"King, Desmond","HOU",174.31,"1",11.621,"DB","DB",1.121,1.121
2021,"YTD",11313,"Mathieu, Tyrann","KCC",173,"0",11.533,"DB","DB",1.033,1.033
2018,"YTD",11326,"McDonald, T.J.","MIA",172,"0",12.286,"DB","DB",1.724,1.724
2021,"YTD",14918,"Terrell, A.J.","ATL",172,"1",11.467,"DB","DB",0.967000000000001,0.967000000000001
2021,"YTD",14909,"Winfield, Antoine","TBB",172,"0",14.333,"DB","DB",3.833,3.833
2021,"YTD",13224,"Lattimore, Marshon","NOS",172,"1",11.467,"DB","DB",0.967000000000001,0.967000000000001
2021,"YTD",14964,"Hall, Bryce","NYJ",171,"1",10.688,"DB","DB",0.188000000000001,0.188000000000001
2021,"YTD",15001,"Curl, Kamren","WAS",170,"0",11.333,"DB","DB",0.833,0.833
2021,"YTD",13737,"Bates, Jessie","CIN",170,"0",11.333,"DB","DB",0.833,0.833
2018,"YTD",10610,"Parker, Ron","FA",169,"0",11.267,"DB","DB",0.705,0.705
2021,"YTD",13747,"Walker, Tracy","DET",169,"0",12.071,"DB","DB",1.571,1.571
2021,"YTD",14186,"Rapp, Taylor","LAR",168,"0",10.5,"DB","DB",0,0
2021,"YTD",12250,"Collins, Landon","WAS",165,"0",12.692,"DB","DB",2.192,2.192
2021,"YTD",14180,"Murphy, Byron","ARI",164.4,"1",10.96,"DB","DB",0.460000000000001,0.460000000000001
2021,"YTD",14185,"Adderley, Nasir","LAC",163.44,"0",11.674,"DB","DB",1.174,1.174
2020,"YTD",11324,"Vaccaro, Kenny","TEN",162,"0",12.462,"DB","DB",0.176,0.176
2021,"YTD",9861,"Jackson, Kareem","DEN",162,"0",10.8,"DB","DB",0.300000000000001,0.300000000000001
2021,"YTD",13774,"Reed, D.J.","SEA",161.57,"1",12.428,"DB","DB",1.928,1.928
2021,"YTD",12088,"Phillips, Adrian","NEP",161,"0",10.062,"DB","DB",-0.438000000000001,-0.438000000000001
2021,"YTD",13230,"Adams, Jamal","SEA",161,"0",13.417,"DB","DB",2.917,2.917
2021,"YTD",13716,"Edmunds, Terrell","PIT",160,"0",10,"DB","DB",-0.5,-0.5
2021,"YTD",13281,"Douglas, Rasul","GBP",159,"1",14.455,"DB","DB",3.955,3.955
2021,"YTD",14956,"Sneed, L'Jarius","KCC",158,"1",11.286,"DB","DB",0.786,0.786
2021,"YTD",13764,"Johnson, Taron","BUF",158,"1",10.533,"DB","DB",0.0329999999999995,0.0329999999999995
2020,"YTD",12245,"Peters, Marcus","BAL",154,"1",11,"DB","DB",-1.286,-1.286
2020,"YTD",14920,"Gladney, Jeff","MIN",153,"1",9.562,"DB","DB",-2.724,-2.724
2021,"YTD",15362,"Surtain II, Patrick","DEN",153,"1",9.562,"DB","DB",-0.938000000000001,-0.938000000000001
2021,"YTD",13263,"Awuzie, Chidobe","CIN",153,"1",10.929,"DB","DB",0.429,0.429
2021,"YTD",14328,"Wingard, Andrew","JAC",152.4,"1",10.16,"DB","DB",-0.34,-0.34
2021,"YTD",13227,"Lewis, Jourdan","DAL",152,"1",10.133,"DB","DB",-0.367000000000001,-0.367000000000001
2021,"YTD",13322,"Clark, Chuck","BAL",152,"0",10.133,"DB","DB",-0.367000000000001,-0.367000000000001
2021,"YTD",9430,"Jenkins, Malcolm","NOS",152,"0",10.133,"DB","DB",-0.367000000000001,-0.367000000000001
2021,"YTD",13767,"Maddox, Avonte","PHI",152,"1",9.5,"DB","DB",-1,-1
2021,"YTD",12742,"Howard, Xavien","MIA",151,"1",10.067,"DB","DB",-0.433,-0.433
2021,"YTD",15366,"Holland, Jevon","MIA",150.6,"0",10.04,"DB","DB",-0.460000000000001,-0.460000000000001
2021,"YTD",13253,"Williams, Marcus","NOS",150,"0",10,"DB","DB",-0.5,-0.5
2021,"YTD",14245,"Oruwariye, Amani","DET",150,"1",10.714,"DB","DB",0.214,0.214
2021,"YTD",14213,"Harris, Will","DET",149,"1",9.312,"DB","DB",-1.188,-1.188
2021,"YTD",13760,"Whitehead, Jordan","TBB",147,"0",11.308,"DB","DB",0.808,0.808
2021,"YTD",11348,"Slay, Darius","PHI",146,"1",9.125,"DB","DB",-1.375,-1.375
2021,"YTD",14910,"Jones, Brandon","MIA",144,"0",10.286,"DB","DB",-0.214,-0.214
